City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Najran,SA,2022-01-07 19:55:41,17.4924,44.1277,57.85,38,27,3.24
107,Honiara,SB,2022-01-07 19:55:41,-9.4333,159.95,78.57,81,99,4.79
108,Port Hardy,CA,2022-01-07 19:55:41,50.6996,-127.4199,36.75,75,94,9.57
109,Rodrigues Alves,BR,2022-01-07 19:55:42,-7.738,-72.6509,86.2,40,88,5.01
110,Georgetown,MY,2022-01-07 19:53:36,5.4112,100.3354,81.9,86,20,3.0
111,La Ronge,CA,2022-01-07 19:51:25,55.1001,-105.2842,-10.97,91,100,5.61
112,Avera,US,2022-01-07 19:55:42,33.194,-82.5271,51.31,31,99,8.93
113,Butaritari,KI,2022-01-07 19:55:43,3.0707,172.7902,80.76,81,100,18.19
114,Saint-Philippe,RE,2022-01-07 19:55:43,-21.3585,55.7679,76.59,84,100,6.38
115,Fairbanks,US,2022-01-07 19:51:01,64.8378,-147.7164,-26.39,68,20,3.44
116,Cururupu,BR,2022-01-07 19:55:43,-1.8283,-44.8683,83.39,68,94,5.82
117,Outlook,CA,2022-01-07 19:55:43,51.5001,-107.0513,2.5,95,100,6.44
118,Torbat-E Jam,IR,2022-01-07 19:55:44,35.244,60.6225,35.92,54,0,2.75
119,Tezu,IN,2022-01-07 19:55:44,27.9167,96.1667,60.21,48,30,3.98
120,Dudinka,RU,2022-01-07 19:55:44,69.4058,86.1778,-9.38,79,100,25.43
121,Partur,IN,2022-01-07 19:55:45,19.6,76.2167,70.52,43,93,8.86
122,La Plaine,DM,2022-01-07 19:55:45,15.3333,-61.25,84.49,58,75,9.22
123,Provideniya,RU,2022-01-07 19:55:45,64.3833,-173.3,13.64,77,9,11.68
124,Krasnoselkup,RU,2022-01-07 19:55:46,65.7,82.4667,0.07,95,100,28.03
125,Kavaratti,IN,2022-01-07 19:55:46,10.5669,72.642,79.56,68,5,4.16
126,Saint George,US,2022-01-07 19:53:06,37.1041,-113.5841,66.67,47,3,3.0
127,Christchurch,NZ,2022-01-07 19:53:11,-43.5333,172.6333,62.01,76,75,1.01
128,Porto Novo,BJ,2022-01-07 19:55:46,6.4965,2.6036,84.02,77,0,6.67
129,Tunduma,TZ,2022-01-07 19:55:47,-9.3,32.7667,61.14,92,99,2.89
130,Sepuka,TZ,2022-01-07 19:55:47,-4.75,34.5333,66.2,63,100,5.06
131,Cabo San Lucas,MX,2022-01-07 19:55:47,22.8909,-109.9124,83.52,69,7,1.01
132,Tautira,PF,2022-01-07 19:55:47,-17.7333,-149.15,84.22,74,27,1.83
133,Kavieng,PG,2022-01-07 19:55:48,-2.5744,150.7967,81.57,76,100,8.68
134,Nikolayevsk-Na-Amure,RU,2022-01-07 19:55:48,53.1406,140.73,-5.62,94,100,5.35
135,Saint Anthony,US,2022-01-07 19:55:48,45.0205,-93.218,2.34,68,75,5.01
136,Kedougou,SN,2022-01-07 19:55:49,12.5579,-12.1743,83.93,15,2,3.22
137,Arraial Do Cabo,BR,2022-01-07 19:55:49,-22.9661,-42.0278,76.96,94,75,8.05
138,Doaba,PK,2022-01-07 19:56:49,33.4244,70.7364,44.47,91,100,4.05
139,Kapaa,US,2022-01-07 19:56:49,22.0752,-159.319,75.18,80,0,2.24
140,Polyarnyy,RU,2022-01-07 19:56:50,69.1989,33.4478,7.27,82,100,5.88
141,Codrington,AU,2022-01-07 19:56:50,-38.2667,141.9667,60.17,94,100,11.36
142,Yumen,CN,2022-01-07 19:56:50,40.2833,97.2,22.21,47,25,7.58
