City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
104,Kapaa,US,80.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
112,Cockburn Town,TC,78.03,clear sky,21.4612,-71.1419,Osprey Beach Hotel
113,Port Lincoln,AU,79.99,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
119,Takoradi,GH,81.34,scattered clouds,4.8845,-1.7554,Raybow International Hotel
121,Mogadishu,SO,77.76,few clouds,2.0371,45.3438,Hotel Juba
134,Butaritari,KI,81.52,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
140,Makakilo City,US,77.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
142,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
144,Bandarbeyla,SO,75.42,scattered clouds,9.4942,50.8122,JABIR HOTEL
148,Bossangoa,CF,75.88,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
150,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
154,Lakatoro,VU,84.09,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
166,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
167,Maningrida,AU,83.28,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
168,Mana,GF,75.52,broken clouds,5.6592,-53.7767,LE SAMANA
170,Nabire,ID,77.4,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
172,Cabo San Lucas,MX,79.9,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
174,Tabou,CI,80.1,broken clouds,4.423,-7.3528,hotêl doufoulougou
177,Trairi,BR,79.48,overcast clouds,-3.2778,-39.2689,janelas do mar
182,Comodoro Rivadavia,AR,82.26,clear sky,-45.8667,-67.5,Austral Hotel
186,Faanui,PF,81.37,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
189,Sechura,PE,77.99,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
198,Lorengau,PG,82.36,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
199,Port Keats,AU,85.28,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
202,Abu Zabad,SD,78.6,broken clouds,12.35,29.25,حامد محمد نور
206,Port Blair,IN,77.97,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
207,Kahului,US,85.26,clear sky,20.8947,-156.47,Maui Seaside Hotel
208,Hithadhoo,MV,81.3,scattered clouds,-0.6,73.0833,Scoop Guest House
210,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
218,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
223,Loanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
225,Vanimo,PG,79.16,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
228,Ouesso,CG,76.86,scattered clouds,1.6136,16.0517,ABENIE Hotel
230,Hervey Bay,AU,84.02,broken clouds,-25.2986,152.8535,Shelly Bay Resort
231,Copala,MX,82.04,broken clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
232,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
238,Kapoeta,SS,83.16,clear sky,4.7717,33.5903,Eastgate Hotel
240,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
