City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Arcata,US,40.8665,-124.0828,65.19,69,0,1.01,clear sky
159,Sibolga,ID,1.7427,98.7792,74.08,90,99,3.4,overcast clouds
160,Fuyu,CN,45.1833,124.8167,-2.63,99,100,3.87,overcast clouds
161,Barranca,PE,-10.75,-77.7667,72.64,73,9,10.65,clear sky
162,Porbandar,IN,21.6422,69.6093,61.9,51,0,9.98,clear sky
163,Sur,OM,22.5667,59.5289,67.46,60,0,3.29,clear sky
164,Towada,JP,40.6127,141.2067,28.2,84,75,3.36,broken clouds
165,San Cristobal,VE,7.7669,-72.225,69.98,87,76,3.31,broken clouds
166,San Andres,CO,12.5847,-81.7006,80.62,78,20,10.36,few clouds
167,Maningrida,AU,-12.0667,134.2667,83.28,69,93,8.66,overcast clouds
168,Mana,GF,5.6592,-53.7767,75.52,84,79,6.33,broken clouds
169,Oxford,GB,51.7522,-1.256,41.63,97,0,3.44,clear sky
170,Nabire,ID,-3.3667,135.4833,77.4,86,100,0.72,overcast clouds
171,Sitka,US,57.0531,-135.33,44.49,76,100,20.71,overcast clouds
172,Cabo San Lucas,MX,22.8909,-109.9124,79.9,74,100,1.01,overcast clouds
173,Zonguldak,TR,41.25,31.8333,43.03,72,94,5.08,overcast clouds
174,Tabou,CI,4.423,-7.3528,80.1,83,75,8.52,broken clouds
175,Ponta Do Sol,PT,32.6667,-17.1,65.01,30,99,10.33,overcast clouds
176,Srednekolymsk,RU,67.45,153.6833,-15.3,98,100,5.57,overcast clouds
177,Trairi,BR,-3.2778,-39.2689,79.48,75,100,8.95,overcast clouds
178,Luena,AO,-11.7833,19.9167,62.06,97,93,3.8,light rain
179,Beirut,LB,33.8889,35.4944,59.74,48,40,17.27,scattered clouds
180,Zelenogorskiy,RU,55.0333,87.0,19.92,93,100,10.42,light snow
181,Tateyama,JP,34.9833,139.8667,48.22,79,99,19.8,overcast clouds
182,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,21,0,23.02,clear sky
183,Bonavista,CA,48.6499,-53.1147,26.11,76,46,18.43,scattered clouds
184,Te Anau,NZ,-45.4167,167.7167,68.18,66,83,3.33,broken clouds
185,Lata,PT,40.1629,-8.3327,56.71,99,100,2.82,overcast clouds
186,Faanui,PF,-16.4833,-151.75,81.37,71,59,2.77,broken clouds
187,Xuddur,SO,4.1213,43.8894,71.58,73,11,13.04,few clouds
188,Mecca,SA,21.4267,39.8261,74.28,75,1,2.06,clear sky
189,Sechura,PE,-5.5569,-80.8222,77.99,61,82,17.87,broken clouds
190,Khasan,RU,42.4308,130.6434,16.7,64,19,6.11,few clouds
191,Geraldton,AU,-28.7667,114.6,68.13,59,0,19.57,clear sky
192,Lebu,CL,-37.6167,-73.65,62.19,84,20,4.05,few clouds
193,Verkhnevilyuysk,RU,63.4453,120.3167,-31.76,98,9,3.44,clear sky
194,Houston,US,29.7633,-95.3633,73.96,69,75,10.0,broken clouds
195,Nedjo,ET,9.5046,35.5019,60.78,50,6,0.72,clear sky
196,Margate,GB,51.3813,1.3862,40.95,93,11,7.56,few clouds
197,Qaanaaq,GL,77.484,-69.3632,0.28,70,95,7.45,overcast clouds
198,Lorengau,PG,-2.0226,147.2712,82.36,76,81,8.37,broken clouds
199,Port Keats,AU,-14.25,129.55,85.28,71,46,6.71,scattered clouds
200,Bayan,CN,46.0833,127.4,-0.35,98,100,2.53,overcast clouds
201,Veraval,IN,20.9,70.3667,60.84,54,0,12.3,clear sky
202,Abu Zabad,SD,12.35,29.25,78.6,26,69,8.37,broken clouds
203,Dingle,PH,10.9995,122.6711,74.48,93,71,5.64,broken clouds
204,Kysyl-Syr,RU,63.8986,122.7617,-38.83,100,63,3.09,broken clouds
205,Okhotsk,RU,59.3833,143.3,6.71,78,100,13.85,overcast clouds
206,Port Blair,IN,11.6667,92.75,77.97,74,83,6.8,broken clouds
207,Kahului,US,20.8947,-156.47,85.26,63,0,10.36,clear sky
208,Hithadhoo,MV,-0.6,73.0833,81.3,74,31,6.71,scattered clouds
209,Arlit,NE,18.7369,7.3853,56.79,19,48,8.28,scattered clouds
210,Cayenne,GF,4.9333,-52.3333,79.09,77,0,1.01,clear sky
211,Brainerd,US,46.358,-94.2008,-2.42,82,23,9.6,few clouds
212,Naze,JP,28.3667,129.4833,58.3,75,98,11.27,overcast clouds
213,Lavrentiya,RU,65.5833,-171.0,-10.44,81,9,12.68,clear sky
214,Mount Gambier,AU,-37.8333,140.7667,73.56,45,56,6.22,broken clouds
215,Pangnirtung,CA,66.1451,-65.7125,-25.4,86,29,6.38,scattered clouds
216,Saskylakh,RU,71.9167,114.0833,6.6,92,100,10.27,overcast clouds
217,Quesnel,CA,52.9999,-122.5029,33.48,86,100,10.22,overcast clouds
218,Georgetown,MY,5.4112,100.3354,80.53,72,20,10.36,few clouds
219,Gushikawa,JP,26.3544,127.8686,63.63,88,20,4.61,few clouds
220,Prince Albert,CA,53.2001,-105.7677,-22.45,95,54,5.48,broken clouds
221,Rongcheng,CN,30.634,117.8517,43.0,90,100,0.89,overcast clouds
222,Maniitsoq,GL,65.4167,-52.9,11.68,83,100,3.42,light snow
223,Loanda,AO,-8.8368,13.2343,77.0,83,75,5.75,broken clouds
224,East London,ZA,-33.0153,27.9116,73.67,87,88,20.83,overcast clouds
